variable,weight
w_total_compensation_k1000_391,0.09998579449494524
w_total_compensation_k1000_392,-7.95378920585931
w_total_compensation_k1000_393,-16.63754803312484
w_total_compensation_k1000_417,94.19305305616929
w_total_compensation_k1000_448,58.61403180080184
w_total_compensation_k1000_478,25.133778287496163
w_total_compensation_k1000_479,0.8632252542844874
w_total_compensation_k1000_482,-8.487283243940366
w_total_compensation_k1000_483,-25.22734181758373
w_total_compensation_k1000_489,0.5495874838885872
w_total_compensation_k1000_492,61.28516303346339
w_total_compensation_k1000_493,171.53205987439455
w_total_compensation_k1000_494,8.343601161949111
w_total_compensation_k1000_505,-43.954494229800765
w_total_compensation_k1000_511,-113.33452583392712
w_total_compensation_k1000_527,-0.4423820761063155
w_total_compensation_k1000_536,1.0085525247945173
w_total_compensation_k1000_543,4.373685545175341
w_total_compensation_k1000_544,-92.01234389479376
w_total_compensation_k1000_545,-10.280525595787372
w_total_compensation_k1000_546,20.37708249291821
w_total_compensation_k1000_548,-701.6415648648122
w_total_compensation_k1000_555,-17.342748738374173
w_total_compensation_k1000_556,48.12688140349417
w_total_compensation_k1000_576,13.49518939131912
w_total_compensation_k1000_577,-9.027305943040494
w_total_compensation_k1000_582,30.345043094050222
w_total_compensation_k1000_584,-3.1089818253593977
w_total_compensation_k1000_585,13.989210230227423
w_total_compensation_k1000_589,20.01287736830493
w_total_compensation_k1000_600,-50.87167186021721
w_total_compensation_k1000_633,29.814298234538217
w_total_compensation_k1000_634,-6.04324944101908
w_total_compensation_k1000_635,-8.95791806757314
w_total_compensation_k1000_636,1.4073696890293645
w_total_compensation_k1000_637,-97.24316576489046
w_total_compensation_k1000_638,13.840631945132476
w_total_compensation_k1000_639,0.678362064852526
w_total_compensation_k1000_641,-5.096565440222581
w_total_compensation_k1000_642,-40.959142723840465
w_total_compensation_k1000_643,-0.9862505399994225
w_total_compensation_k1000_644,0.5788925707330302
w_total_compensation_k1000_645,12.858393923458184
w_total_compensation_k1000_646,1.449400463225379
w_total_compensation_k1000_647,6.909812734302985
w_total_compensation_k1000_648,5.892763213874313
w_total_compensation_k1000_649,39.22140261375041
w_total_compensation_k1000_651,-5.665882805326822
w_total_compensation_k1000_652,6.342355593617612
w_total_compensation_k1000_653,3.9676928197088026
w_total_compensation_k1000_654,-2.952995825966714
w_total_compensation_k1000_655,2.753500737736247
w_total_compensation_k1000_657,17.133846585610875
w_total_compensation_k1000_658,-3.925285813620072
w_total_compensation_k1000_659,9.236998601755031
w_total_compensation_k1000_660,-7.947474177510994
w_total_compensation_k1000_661,4.41882220360255
w_total_compensation_k1000_662,-23.772504634559546
w_total_compensation_k1000_663,20.543768638095337
w_total_compensation_k1000_664,-14.433568056131364
w_total_compensation_k1000_665,-98.85707748795845
w_total_compensation_k1000_666,23.173743284991737
w_total_compensation_k1000_667,-60.82185397714649
w_total_compensation_k1000_668,30.856128059295425
w_total_compensation_k1000_670,-185.81214756124857
w_total_compensation_k1000_671,623.0747253956155
w_total_compensation_k1000_672,0.9093844202757697
w_total_compensation_k1000_673,7.56198738101963
w_total_compensation_k1000_674,48.98573374213266
w_total_compensation_k1000_675,7.870827504721017
w_total_compensation_k1000_676,2.87076876177566
w_total_compensation_k1000_677,-3.7911595896481844
w_total_compensation_k1000_678,4.655816339821139
w_total_compensation_k1000_679,-7.971307162814062
w_total_compensation_k1000_680,27.185581112844933
w_total_compensation_k1000_681,-12.868079028360517
w_total_compensation_k1000_682,68.25484128674834
w_total_compensation_k1000_683,5.364731409376447
w_total_compensation_k1000_684,-34.57039710559779
w_total_compensation_k1000_685,11.84533653463099
w_total_compensation_k1000_686,4.5562941720468215
w_total_compensation_k1000_687,-27.010162518848652
w_total_compensation_k1000_688,3.0796943268149364
w_total_compensation_k1000_689,-12.14983061828477
w_total_compensation_k1000_691,25.115217109151992
w_total_compensation_k1000_693,-8.581337236106762
w_total_compensation_k1000_695,-61.08585895412684
w_total_compensation_k1000_696,48.52137830895201
w_total_compensation_k1000_697,-88.06245679693174
w_total_compensation_k1000_698,-1.4011225089958417
w_total_compensation_k1000_700,-135.1189939835289
w_total_compensation_k1000_701,1.6175292133152863
w_total_compensation_k1000_702,-2.9996684243210536
w_total_compensation_k1000_703,5.681491112369343
w_total_compensation_k1000_704,0.7701995743001812
w_total_compensation_k1000_705,2.077655780974369
w_total_compensation_k1000_706,0.8586233574976435
w_total_compensation_k1000_707,-1.0725316343313027
w_total_compensation_k1000_708,7.056173363244986
w_total_compensation_k1000_709,1.5460629298156294
w_total_compensation_k1000_710,66.50789285045836
w_total_compensation_k1000_711,-39.73374837117292
w_total_compensation_k1000_712,-4.184025984653784
w_total_compensation_k1000_713,37.157215702691516
w_total_compensation_k1000_714,-8.335145770401509
w_total_compensation_k1000_715,-23.667691507551847
w_total_compensation_k1000_716,1.6820400704180618
w_total_compensation_k1000_717,-212.0142515287569
w_total_compensation_k1000_719,10.774998044305793
w_total_compensation_k1000_720,21.48681015401284
w_total_compensation_k1000_721,0.9580258091043168
w_total_compensation_k1000_722,4.82728404792624
w_total_compensation_k1000_723,3.6028325157815058
w_total_compensation_k1000_724,24.414455002349907
w_total_compensation_k1000_725,-159.36213799594884
w_total_compensation_k1000_726,0.1533653622738653
w_total_compensation_k1000_727,-17.398480302978367
w_total_compensation_k1000_728,0.6178139503565833
w_total_compensation_k1000_729,23.93179772938606
w_total_compensation_k1000_730,11.791108591143326
w_total_compensation_k1000_731,-59.37923111195729
w_total_compensation_k1000_732,0.558843484365455
w_total_compensation_k1000_733,10.39261977481093
w_total_compensation_k1000_734,-34.168066352363354
w_total_compensation_k1000_735,-7.3030083547959155
w_total_compensation_k1000_736,-0.060967613441187084
w_total_compensation_k1000_737,-110.7800451168251
w_total_compensation_k1000_738,-1.8687756871690728
w_total_compensation_k1000_739,-6.2941205598589915
w_total_compensation_k1000_740,153.05263439681227
w_total_compensation_k1000_741,-28.875078491588678
w_total_compensation_k1000_742,-45.613693654342036
w_total_compensation_k1000_743,-4.242617159727198
w_total_compensation_k1000_744,291.3428903781692
w_total_compensation_k1000_745,49.75630621779825
w_total_compensation_k1000_746,-28.60760035078782
w_total_compensation_k1000_747,-2.6405046108016217
w_total_compensation_k1000_750,12.60836140117459
w_total_compensation_k1000_751,28.389745696708054
w_total_compensation_k1000_752,-20.009539157573933
w_total_compensation_k1000_753,-55.51395256044535
w_total_compensation_k1000_757,-2.377487819204501
w_total_compensation_k1000_758,-214.7896847900797
w_total_compensation_k1000_765,-36.91605944318721
w_total_compensation_k1000_766,16.604101221985644
w_total_compensation_k1000_775,-41.81751355462741
w_total_compensation_k1000_779,1.1274139383043373
w_total_compensation_k1000_790,1.6886880594706755
w_total_compensation_k1000_791,-103.69154054881331
