regression_number,file_name,rank,r2,coefficient
9,list_by_type_8,13,0.06307518057449601,1474366.0811898953
9,list_by_type_2,14,0.053027252229361777,0.642286492461411
9,list_by_type_6,15,0.05265392089933185,496373.91540870507
9,list_by_type_3,16,0.039450007101514584,92647.06475118667
9,list_by_type_4,17,0.027767099911186532,0.3908767389911915
9,list_by_type_5,18,0.021758091433362714,214881.18529958592
10,list_by_type_16,1,0.16921358447222778,143652.68892611275
10,list_by_type_18,2,0.14152022582946255,127707.70233446859
10,list_by_type_10,3,0.13002891979013187,137119.67284583082
10,list_by_type_14,4,0.12054995318262662,1.1685066840072216
10,list_by_type_17,5,0.11867942457048997,110089.39441166964
10,list_by_type_12,6,0.11362966971287225,130887.04953894559
10,list_by_type_13,7,0.11362966971287225,130887.04953894559
10,list_by_type_11,8,0.11246751437646685,129767.27833518398
10,list_by_type_1,9,0.10273165877641144,122672.78663365307
10,list_by_type_9,10,0.08304841742101343,576829.729812773
10,list_by_type_7,11,0.060504762229830256,1038174.0986705587
10,list_by_type_7,12,0.060504762229830256,1038174.0986705587
10,list_by_type_8,13,0.054184646962341265,1277537.2028725059
10,list_by_type_6,14,0.049474485826331405,468373.4752960789
10,list_by_type_3,15,0.03990292789202199,91699.753672946
10,list_by_type_2,16,0.03633978695647677,0.3953419567472254
10,list_by_type_4,17,0.018944206709867517,0.2294279196326904
10,list_by_type_5,18,0.015783313690995948,131537.2121119823
11,list_by_type_7,1,0.8430630959780486,3265584.2524499437
11,list_by_type_7,2,0.8430630959780486,3265584.2524499437
11,list_by_type_8,3,0.8173138273056212,3434221.8041508696
11,list_by_type_4,4,0.7691090042699588,1.255580746755494
11,list_by_type_5,5,0.7613043699049089,832647.4716307265
11,list_by_type_2,6,0.7526641686430642,1.0244374557729694
11,list_by_type_6,7,0.7406985122016034,796788.2101991758
11,list_by_type_18,8,0.7344139483535645,80838.02390118717
11,list_by_type_14,9,0.7333583089912366,0.8080004658388958
11,list_by_type_17,10,0.7150403803235679,112617.73856884749
11,list_by_type_10,11,0.7146417386383002,83844.27162696225
11,list_by_type_12,12,0.7041923056536061,130993.69156052163
11,list_by_type_13,13,0.7041923056536061,130993.69156052163
11,list_by_type_11,14,0.7039258446473842,128254.19392129322
11,list_by_type_1,15,0.6980664927745979,117431.18278109089
11,list_by_type_9,16,0.6960445897386152,741057.3531078236
11,list_by_type_16,17,0.647876834918352,39262.510307181205
11,list_by_type_3,18,0.5464358823155564,95189.9412776086
12,list_by_type_18,1,0.15845578214649292,137396.7431935256
12,list_by_type_16,2,0.15298463108898985,128674.32941590314
12,list_by_type_10,3,0.1476204096886985,145327.70661277947
12,list_by_type_17,4,0.13969056320341977,125840.63209012107
12,list_by_type_14,5,0.1369612826194252,1.1966377261511434
12,list_by_type_12,6,0.1349819271405691,147065.37644972713
12,list_by_type_13,7,0.1349819271405691,147065.37644972713
12,list_by_type_11,8,0.13475140556395138,146401.3697616317
12,list_by_type_1,9,0.12452606708222957,137202.3255201258
12,list_by_type_7,10,0.09872403960694087,1852701.5171940278
12,list_by_type_7,11,0.09872403960694087,1852701.5171940278
12,list_by_type_9,12,0.09837064295249787,778599.336087602
12,list_by_type_8,13,0.08893240686166526,2013392.0431572818
12,list_by_type_2,14,0.08847383508969264,1.0223711894039265
12,list_by_type_6,15,0.06576785685813191,654259.2380339981
12,list_by_type_4,16,0.04092662994585983,0.6231231542017963
12,list_by_type_3,17,0.03944819794726406,86125.26445051865
12,list_by_type_5,18,0.0324968565630227,331173.46628151595
13,list_by_type_18,1,0.06012165193862962,-5.558285031405004
13,list_by_type_17,2,0.05335784855979975,-6.077923330634993
13,list_by_type_16,3,0.010674432661736288,-3.4623311391917424
13,list_by_type_10,4,0.01063249250340148,-5.2512814246548665
13,list_by_type_1,5,0.008655497086834218,-5.2460239568346605
13,list_by_type_11,6,0.00827439464687596,-5.255733047609801
13,list_by_type_12,7,0.008195449010063749,-5.25135538867961
13,list_by_type_13,8,0.008195449010063749,-5.25135538867961
13,list_by_type_2,9,0.007883059192684838,-3.174025473561102e-05
13,list_by_type_4,10,0.006801970465863505,-2.8206377647637995e-05
13,list_by_type_14,11,0.005650824681619704,-3.273113386198996e-05
13,list_by_type_3,12,0.004733538926094072,-5.302669242497092
13,list_by_type_6,13,0.002913804467818526,-23.16384205904661
13,list_by_type_5,14,0.001519103568975777,-8.166729736829293
13,list_by_type_7,15,0.0014112664327028401,15.58422300616056
13,list_by_type_7,16,0.0014112664327028401,15.58422300616056
13,list_by_type_9,17,0.00025915296826029,-5.708052262497378
13,list_by_type_8,18,2.617580305730449e-06,1.0837230635072639
14,list_by_type_18,1,0.06248036806090518,-4.150592054786339
14,list_by_type_17,2,0.05623822150878954,-4.5680067415308585
14,list_by_type_16,3,0.012492785194385236,-2.5556136944462384
14,list_by_type_10,4,0.011905887534913728,-3.6960404989307722
14,list_by_type_1,5,0.010165138084560432,-3.6988196886184546
