role_k1000_v3,role_k1000_v3_num,x_2d,y_2d
Energy Analyst,203,5.669881,8.024223
Financial Analyst,204,4.0407085,3.6562479
Financial Business Analyst,205,3.903841,3.8320026
Pricing Analyst,206,4.1817265,4.1754017
Quantitative Risk Analyst,207,3.5085974,3.764977
Revenue Specialist,208,5.0209637,4.0349326
Sales Compensation Analyst,209,3.9171512,4.5657935
Sustainability Consultant,210,5.9926586,7.9016113
Asset Manager,211,5.449755,3.654653
Chief Executive Officer,212,5.353744,3.4054587
Corporate Executive,213,5.364706,3.6080105
Housing Compliance Analyst,214,3.3637893,2.8294497
Land Acquisition Agent,215,5.5372696,6.936122
Property Appraiser,216,4.506023,3.0632277
Property Manager,217,5.6922493,3.4247544
Property Valuer,218,4.546385,3.1368852
Real Estate Consultant,219,5.6712255,3.326724
Real Estate Coordinator,220,5.6139436,3.301209
Real Estate Finance,221,4.6295547,3.2614424
Title Examiner,222,4.5105295,2.4247262
Biomedical Researcher,223,2.3775792,5.778437
Clinical Data Scientist,224,3.0697746,5.385928
Clinical Research Coordinator,225,2.503069,5.593403
Health Researcher,226,2.412375,5.8371863
Medical Science Liaison,227,7.4489036,3.6583433
Medical Writer,228,4.9715137,4.902127
Regulatory Affairs Analyst,229,3.356677,2.9116344
Alternative Medicine Therapist,230,8.93578,2.7307694
Appeals Analyst,231,3.4960167,2.5494199
Care Coordinator,232,8.303205,2.7482612
Care Manager,233,8.415736,2.7617335
Clinical Dietitian,234,8.582168,4.3510485
Clinical Pharmacist,235,9.425401,4.0434012
Community Health Worker,236,8.231929,2.724535
Credential Evaluator,237,3.7396007,2.7881916
Dental Assistant,238,9.42051,3.380792
Dental Hygienist,239,9.366702,3.2121475
Dental Practitioner,240,9.30265,3.1861362
Dialysis Nurse,241,8.709433,2.9870791
Emergency Medical Nurse,242,8.669196,2.9131536
Eye Care Assistant,243,9.3967085,3.333522
Health Informatics,244,3.138496,5.4482336
Health Information Manager,245,3.0998511,5.4487114
Health and Wellness Coordinator,246,8.216311,2.9099512
Healthcare Assistant,247,9.189399,3.322243
Healthcare Educator,248,8.111906,2.8457232
Healthcare HR Specialist,249,5.9489155,1.8425285
Healthcare Investigator,250,3.50053,2.5356035
Healthcare Liaison,251,7.416257,3.7069516
Healthcare Nurse,252,8.68514,2.996973
Healthcare Operations,253,7.103199,6.054717
Healthcare Project Lead,254,2.2482226,4.746938
Healthcare Quality Auditor,255,3.7880664,2.8646364
Healthcare Receptionist,256,9.020444,3.4617267
Healthcare Support,257,9.159466,3.316632
Healthcare Technician,258,9.363668,3.4367332
Infection Control Coordinator,259,8.332509,3.24367
Infection Control Nurse,260,8.483714,3.0759883
Laboratory Technician,261,7.153706,8.207815
Massage Therapist,262,8.921692,2.641011
Medical Billing,263,4.596267,2.8585262
Medical Coder,264,3.8670049,2.7374134
Medical Practitioner,265,8.8757715,2.9227293
Medical Sales Specialist,266,7.0688562,3.963813
Medical Scribe,267,8.91043,3.2158344
Medical Transporter,268,9.088481,6.6483035
Mental Health Counselor,269,8.337516,2.577035
Nurse Educator,270,8.174199,2.036865
Nutrition Manager,271,8.452994,4.596576
Nutritionist,272,8.469995,4.51813
Occupational Health Advisor,273,7.845069,3.4163454
Ophthalmic Technician,274,9.441784,3.402468
Ophthalmologist and Otologist,275,9.417654,3.3094673
Patient Access,276,9.182216,3.3468518
Patient Care Aide,277,9.247238,3.3512962
Pharmacist,278,9.397363,3.9834194
Pharmacy Assistant,279,9.419732,3.8790603
Pharmacy Informatics,280,9.4474745,4.053788
Pharmacy Operations,281,9.439186,4.003
Pharmacy Safety,282,9.4316635,4.0761366
Pharmacy Technician,283,9.458609,3.8218071
Phlebotomy Technician,284,9.505814,3.5719423
Physical Therapist,285,8.822325,2.5925305
Provider Relations,286,5.7177687,4.179967
Radiology Technologist,287,9.461194,3.4442892
Registered Nurse,288,8.69374,2.9814537
Rehabilitation Aide,289,9.088406,2.8231354
Rehabilitation Therapist,290,8.850245,2.6576638
Respiratory Therapist,291,8.993106,2.7548378
Sleep Technician,292,9.196606,2.9470072
Social Worker,293,8.328531,2.614102
Specialized Healthcare Recruiter,294,6.155134,1.4772474
Speech Therapist,295,8.825489,2.573304
Sports Medicine Therapist,296,8.889029,2.6792383
Sterile Processing Technician,297,9.516812,3.528437
Surgical Technician,298,9.517646,3.5128162
Therapist,299,8.744242,2.6589088
Ultrasound Technician,300,9.463219,3.4438992
Utilization Review,301,3.9021754,2.7092872
Veterans Support Coordinator,302,7.9572916,2.6331778
Veterinarian,303,9.1075535,3.6868396
Veterinary Receptionist,304,9.117291,3.6864376
Veterinary Technician,305,9.345762,3.5570114
Wellness Coach,306,8.598533,2.5147586
On Leave,307,8.657352,2.9925766
Retired,308,8.566701,3.036127
Customer Service Operations,309,6.9243383,5.835199
Operations Associate,310,7.0778413,6.0468516
